test,magnitude_mfcc,magnitude_cqt,magnitude_spectrum,magnitude_music2latent,magnitude_dac,magnitude_exponent_mfcc,magnitude_exponent_cqt,magnitude_exponent_spectrum,magnitude_exponent_music2latent,magnitude_exponent_dac,distances_mfcc,distances_cqt,distances_spectrum,distances_music2latent,distances_dac,distances_exponent_mfcc,distances_exponent_cqt,distances_exponent_spectrum,distances_exponent_music2latent,distances_exponent_dac,similarities_mfcc,similarities_cqt,similarities_spectrum,similarities_music2latent,similarities_dac,similarities_exponent_mfcc,similarities_exponent_cqt,similarities_exponent_spectrum,similarities_exponent_music2latent,similarities_exponent_dac
square_slow,-0.931727449166416,-0.9304095242298824,-0.9602288260082289,0.9647110484459146,0.9332060120954798,0.1825183551115614,0.42256028224667674,0.4635039096320087,0.9168510586311522,0.019219423588379272,-0.6382544543199793,0.5291027512778177,0.30583423472347293,0.95922949757581,0.9295702398493356,0.44870306646086977,1.1359129266203265,3.6044646800341034,2.108869959320385,0.001,-0.4747638051899537,-0.698260530065893,-0.36786720035880205,-0.8284182185097367,,5.594961194464059,2.348756737844108,0.44599087683654987,0.3125513879087495,0.21020920582251637
square_fast,-0.7379230204735306,-0.7632205097936936,-0.6146470090746214,0.2506287369354661,0.9130648205620223,0.0010000000000000009,0.001,0.0010000000000000009,0.7570728719755806,2.306464624102227,0.5358182787491458,0.35412339603060533,0.3871558484595783,0.23802770965816014,0.8262383657687639,0.0010000000000000009,0.6407354644432766,0.0010000000000000009,0.4450072955237374,3.0050115389110617,-0.44657303382959457,-0.467492193672478,-0.17328489355689453,-0.23775427701644788,,10.0,5.441312483580993,10.0,5.4490445509440875,0.750913411097215
square_vibrato,0.25981116564617734,0.2708651742171626,0.11749257438767731,-0.09216729142586626,0.5960707856521249,0.001,1.1466717061326592,0.4987394676685818,0.13103395267472442,0.8459201755616491,0.07587065245598826,0.08745705744256609,-0.08044826029301476,0.49739340669666016,0.854511634268867,2.8873650251347898,3.2409397580006796,0.39134584165895414,1.1210066476016405,6.260984665597324,0.10876517277227425,-0.02129027951935388,0.08842243590630197,-0.49948807247031224,,10.0,0.001,1.4568014906719071,1.8237758909234645,0.04854614096543094
saw_noise,0.9545434163271871,-0.8102559271588448,-0.37127715304683206,0.491163549783958,0.23437718889472212,1.2310110127195437,0.6447686554890256,0.12303001237200878,3.6791101717112844,1.0547106123814842,-0.2413110559509836,-0.05164395568606203,-0.0442929691453579,0.7983169636466432,0.3724921958981152,0.2388949677879118,0.001,0.0010000000000000009,1.5496506895290267,0.7973986784232436,0.9052689608600794,-0.23901806738293124,-0.10342497547168741,-0.7545329609318824,-0.17547536959897325,7.803012110207342,0.9497699542426913,2.070630505288702,0.8533126836455946,2.049525750994871
sines_noise,0.47769792097818425,-0.920153328352103,-0.521898997365405,0.9605796279938377,0.7994756163129626,3.1965488673217806,0.5757936952232917,0.3813021811554554,1.030883479479478,0.6840205367271723,-0.4726013291070188,-0.6083314154903672,-0.227499411750064,0.9611324468068327,0.5895869429364461,0.5196027916136827,0.43479432674721014,0.5260083522658648,1.4463601146124745,1.3186375554477496,0.5574508478208563,0.21032429740362374,0.0677522794088729,-0.9067683911060045,0.5279377631110683,6.546372645253051,5.517292671556596,1.2613296164047445,0.9974391135962561,1.6022009088957205
filter_saw,-0.9956324651924293,-0.16415313195724518,-0.9597879103833306,0.5881634547639526,0.4491654819820821,0.7709230510255772,10.0,2.4217038088766585,1.4615287977447058,1.0760175195752042,-0.2749888076159721,0.4031157013471923,0.09239515451764899,0.18474090522182768,0.5926487974927392,0.19369918980252476,10.0,0.2608215670107987,4.534265322031822,0.8561320859115938,0.0029293639480179713,-0.23919690471810062,-0.02529076747878129,0.03159128166360694,,10.0,0.33912095070606724,10.0,4.008567984987914,3.166124136222906
triangle_clip,-0.962686549258904,-0.8431139544855862,-0.9419678111696523,0.7410900431679609,0.9583235687066471,0.9453209543347989,3.7562915001547683,3.980344677869246,1.3355241015789208,0.9155693371365423,-0.42723436601148324,0.3918781001822768,-0.1505367808355026,0.2241774464322714,0.9617697818545254,0.3069206912267651,0.001,0.5240313155133058,0.05579301033834068,0.8159746986467823,0.056624385533258305,-0.06730900843728724,0.07662176434358689,0.6855278180481564,,10.0,10.0,10.0,2.9020588780154988,2.9345979770212707
fm_amplitude,-0.8902880277644484,-0.8573793194925463,-0.8740365338205291,-0.8627269559806905,0.08540693848146254,0.36191597089864375,2.0379474106105966,4.946362275739651,0.5906625954265817,5.121250368576878,-0.007613872317542397,0.5618358600735907,0.26762233601166324,0.6304450876573471,-0.10131243231329018,1.6399178978612292,0.16392636262859767,0.0010000000000000009,0.5081809934352263,2.2903995971162527,-0.04321564611819198,-0.3775826213030862,-0.04647120132962599,-0.8720523247808747,0.1574893703932367,10.0,10.0,10.0,1.1524588266646387,0.11465305976563085
fm_frequency,-0.4132269832110678,0.2086207747463705,0.2901161687635271,-0.5207144917568041,0.1183225852907915,1.2719025789921645,7.165525789852771,4.495490335746311,1.824107889133051,2.156041698359678,-0.16013006010298098,-0.18100078992316093,-0.2937901982672388,,-0.18412115574436508,1.3235905668936114,2.969203550968482,0.46913971059291837,8.589065957442282,1.02593756340621,0.05271406206940558,0.11098077517942195,0.2560780887260255,-0.49408676447396327,,5.868193252062615,4.336266676456952,5.655216236046175,3.1785488759894185,2.071466900216692
delay_noise,-0.6589617255792802,-0.6137334588045611,-0.6132345936609123,-0.4951392214640364,0.4434693866447138,0.621232645001652,0.9503925573263535,1.060016977644455,1.2336919230296344,0.001,-0.1909207153470035,-0.1718064516451512,-0.2174719307676909,-0.37848140152745674,0.4403496453675475,1.2135339395418518,1.5087117306882287,2.4278237450914695,4.281879325455882,0.7192260933430779,-0.3849036994518886,-0.4076622829995187,-0.6104520301241052,0.26070791379695274,,10.0,10.0,2.038163603207395,0.001,6.907043849014784
delay_saw,-0.6686136910184064,-0.6608673146736792,-0.6337946034824499,0.588902408238884,0.3084775254510916,0.9165866371807141,1.0748645497857867,2.0803319584750306,0.42267389432848596,0.0010000000000000009,-0.14939183121777946,0.1781189358737227,0.3334236246842112,0.4057971573735845,0.35117464873564225,1.9395303316033985,0.0010000000000000009,0.0010000000000000009,0.17096249192048932,0.001,-0.15705886667202243,-0.2367106533043962,-0.4467040730677669,-0.2938678941777087,,10.0,10.0,6.861911902035749,8.035850325166951,1.7856206754187305
reverb_noise,-0.6216005711810138,-0.7448118758489033,-0.5648993396021508,-0.6024285237786409,0.32663668152121095,0.9374444813248322,0.23398507972233665,1.9789887973995748,1.2012465381893351,0.001,-0.23320451111735038,-0.2112756694679437,-0.22751078976155786,-0.42069368449138544,0.5161950492166116,0.8167043303260519,1.2980937105358334,2.5415978094218796,3.874463506071568,1.1813261216126285,,-0.6274915927811043,-0.38480719112822614,0.37974921980321874,,0.050344843251147686,6.060084569667738,3.9222112445832344,0.001,1.910326203480879
reverb_saw,-0.626591848448485,-0.6140236014541078,-0.44232461194082906,,-0.2870314643307144,2.7034725101702413,1.8097897048724232,10.0,4.917140676613073,1.6031946906099646,-0.16384825909810327,-0.18250402404943575,0.33885312108394255,,-0.277186528906325,1.946217854100842,2.1610100931042213,0.0010000000000000009,5.475621670128526,2.346220099999091,0.15225680870250766,0.058718489532297635,-0.062182097691184865,-0.29893249066761496,,0.7323348749922323,0.001,10.0,8.002699405481899,1.978884199713695
